ELEAGUE Cup 2018: Rocket League,1,72000,We Dem Girlz
ELEAGUE Cup 2018: Rocket League,2,30000,Cloud9
ELEAGUE Cup 2018: Rocket League,3,15000,Dignitas
ELEAGUE Cup 2018: Rocket League,4,15000,NRG Esports
ELEAGUE Cup 2017: Rocket League,1,70000,G2 Esports
ELEAGUE Cup 2017: Rocket League,2,30000,Gale Force eSports
ELEAGUE Cup 2017: Rocket League,3,12000,Mock-It eSports
ELEAGUE Cup 2017: Rocket League,4,12000,Cloud9
RLCS Season 4 - Finals,1,55000,Gale Force eSports
RLCS Season 4 - Finals,2,30000,Method
RLCS Season 4 - Finals,3,16000,Cloud9
RLCS Season 4 - Finals,4,11000,G2 Esports
RLCS Season 5 - Finals,1,100000,Team Dignitas
RLCS Season 5 - Finals,2,60000,NRG Esports
RLCS Season 5 - Finals,3,30000,compLexity Gaming
RLCS Season 5 - Finals,4,15000,Cloud9
RLCS Season 6 - Finals,1,200000,Cloud9
RLCS Season 6 - Finals,2,120000,Dignitas
RLCS Season 6 - Finals,3,60000,We Dem Girlz
RLCS Season 6 - Finals,4,30000,Chiefs Esports Club
RLCS Season 4 - Europe,1,17250,Gale Force eSports
RLCS Season 4 - Europe,2,13750,Method
RLCS Season 4 - Europe,3,11250,Mock-It eSports
RLCS Season 4 - Europe,4,9250,PSG Esports
RLCS Season 6 - North America,1,38531.25,NRG Esports
RLCS Season 6 - North America,2,33531.25,G2 Esports
RLCS Season 6 - North America,3,28531.25,Cloud9
RLCS Season 6 - North America,4,25531.25,Evil Geniuses
RLCS Season 5 - North America,1,20500,G2 Esports
RLCS Season 5 - North America,2,17000,NRG Esports
RLCS Season 5 - North America,3,14500,Cloud9
RLCS Season 5 - North America,4,12500,Evil Geniuses
RLCS Season 5 - Europe,1,20500,Gale Force eSports
RLCS Season 5 - Europe,2,17000,Renault Vitality
RLCS Season 5 - Europe,3,14500,Team Envy
RLCS Season 5 - Europe,4,12500,compLexity Gaming
RLCS Season 6 - Europe,1,38531.25,Team Dignitas
RLCS Season 6 - Europe,2,33531.25,We Dem Girlz
RLCS Season 6 - Europe,3,28531.25,FlipSid3 Tactics
RLCS Season 6 - Europe,4,25531.25,PSG Esports
RLCS Season 4 - North America,1,17250,Cloud9
RLCS Season 4 - North America,2,13750,Ghost Gaming
RLCS Season 4 - North America,3,11250,NRG Esports
RLCS Season 4 - North America,4,9250,G2 Esports
RLCS Season 3 - Europe,1,13500,Mock-It eSports EU
RLCS Season 3 - Europe,2,10000,FlipSid3 Tactics
RLCS Season 3 - Europe,3,7500,The Leftovers
RLCS Season 3 - Europe,4,5500,Northern Gaming
